"","deptWork","deptSpeak","fedUse","noUseBenefit","noUseAccess","noUseCity","noUsePurchase","noUseOther","noUseOtherText","useDemo","useEcon","useEnv","useEdu","useHealth","useHouse","useCrim","useSci","useReg","useTranspo","useLegal","useCaFi","useElec","useLeg","otherDataText","geoState","geoCounty","geoCountySub","geoCBSA","geoTract","geoBlockGroup","geoBlock","geoAll","geoNA","doTrack","doID","doBudget","doInform","doPredict","doReg","doOther","otherDoText","import","startUse","pastChg","lessFreq","lessQuality","lessAccess","lessUse","lessOther","lessOtherText","lessReplace","futureChg","fLessFreq","flessQual","fLessAccess","fLessUse","fLessOther","fLessOtherText","fLessReplace","freq","access","easeUse","accuracy","futureFreq","futureAccess","futureUse","futureAccuracy","mena","hispanic","lostAccess","lostData","lossImpact","wishData","wishListData","dataLabor","dataDOJ","dataDOT","dataCensus","dataDOI","dataHHS","dataDOE","dataEPA","dataHUD","dataUSDA","dataFDIC","dataFHFA","dataIRS","dataCFPB","dataOther","howAccess","deptSpeakGroup","deptWorkGroup","cityID"
"39","planning and building services","department and division","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","Housing","","","Regulatory","Transportation","","","","","","","","","Core-based Statistical Area (CBSA)","","","","","","","Identify local issues","","","","","","","Very important","More than a decade ago","About the same",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Acceptable","Somewhat better","Somewhat better","About the same","About the same","Not at all valuable","Not at all valuable","No","","Economic indicators for comparison of other MSAs","Yes","HUD and the Manufactured Home Program","Department of Labor ","","Department of Transportation ","Census Bureau ","","","","","","",NA,"","","","","An online tool ","planning/development","planning/development",184
"40","fire","fire","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","Criminal Justice","Scientific","Regulatory","","","","","","DHS/FEMA/USFA","State","County","County Subdivision","","","","","","","Track city or department performance","Identify local issues","","Inform policy decisions","Create predictive models","","","","Fairly important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Acceptable","About the same","About the same","About the same","About the same","Slightly valuable","Moderately valuable","No","","It depends on what we lose.","Yes","I don't know, but I'm sure there's something we don't know about.","","","","Census Bureau ","Department of the Interior ","","","","","",NA,"","","","Other - Write In ","An online tool ","emergency services","emergency services",608
"41","police","department (police) only","Yes",NA,NA,"","",NA,NA,"Demographic","","","","","","Criminal Justice","","","","","","","","","State","County","","","","","","","","Track city or department performance","Identify local issues","","","Create predictive models","Regulatory enforcement","","","Very important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Acceptable","About the same","About the same","About the same","About the same","Slightly valuable",NA,"No","","Inability to prepare top quality grant proposals; impact decision-making for responses to crime and neighborhood needs.","No","","","Department of Justice ","Department of Transportation ","Census Bureau ","","","","","","",NA,"","","","","An online tool ","emergency services","emergency services",608
"42","planning and development services","planning and development services","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","Health","Housing","","","Regulatory","","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","","Identify local issues","","Inform policy decisions","Create predictive models","","","","Important","More than a decade ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Difficult","Neutral","Acceptable","Somewhat worse","About the same","About the same","About the same","Moderately valuable","Very valuable","No","","Less information with which to understand trends and help make decisions about policy and programs","No","","","","","Census Bureau ","","","","Environmental Protection Agency ","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","planning/development","planning/development",608
"43","office of the deputy mayor for planning & economic development","office of the deputy mayor for planning & economic development","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","Housing","","","","","","","","","Bureau of Economic Analysis","State","","","","Census Tracts","","","","","Track city or department performance","Identify local issues","","Inform policy decisions","","","Other - Write In (Required)","Compare to other cities/states/national trend; provide interpretations/analysis/graphics for the public and for journalists","Very important","5 to 10 years ago","A lot more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Difficult","Good","Much worse","Much worse","Much worse","Much worse","Slightly valuable","Not at all valuable","No","","Moreover, some programs or laws are based on the fundamental assumption that accurate Federal data will be available to draw parameters around implementation. If that data becomes unavailable or harder to access, the human capital cost for workarounds will be huge, as would any efforts to create novel data collection to replace such data sources. ","Yes","Literally so much... first that comes to mind would be demographics of unemployed persons by Ward (really any BEA or BLS data by Ward), or more granular tax data","Department of Labor ","","","Census Bureau ","","","","","","",NA,"","","","Other - Write In ","API","planning/development","planning/development",632
"44","gis","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","Criminal Justice","Scientific","","Transportation","","","Electoral","","","","County","County Subdivision","","Census Tracts","Census Block Groups","Census Blocks","","","","Identify local issues","Make budgeting decisions","Inform policy decisions","Create predictive models","","","","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Difficult","Acceptable","Somewhat worse","Somewhat worse","Somewhat better","Somewhat better","Very valuable",NA,"No","","We won't have data to analyze some of our programs or make decisions on critical projects.  The Feds are the only ones who collect some of these datasets.","Yes","Health data and a granular level","","","Department of Transportation ","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","Downloading a data file","citywide","it/gis",638
"45","innovation","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","Health","Housing","","","","Transportation","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","","Identify local issues","Make budgeting decisions","","Create predictive models","","","","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Acceptable","About the same","Somewhat worse","About the same","About the same","Very valuable","Very valuable","Yes","Epa","Some of it departments use federal data, especially ACS, to make many decisions. Organizations who apply for CDBG funding from the city also reply on ACS data for their grant applications.","Yes","More localized data. Census block is often not available.","","","","Census Bureau ","","","Department of Education ","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","innovation/analytics",666
"46","utilities","utilities","Yes",NA,NA,"","",NA,NA,"","","Environmental","","","","","","Regulatory","","","","","","","State","County","","","","","","","","","","Make budgeting decisions","Inform policy decisions","","Regulatory enforcement","","","Important","More than a decade ago","About the same",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Neutral","Good","Somewhat better","Somewhat better","About the same","About the same",NA,NA,"No","","An inability to respond to regulatory changes or information regarding safe operations of water and sewer infrastructure.","No","","","","","","","","","Environmental Protection Agency ","","",NA,"","","","","Downloading a data file","public works","it/gis",608
"47","innovation & technology","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","Criminal Justice","","","Transportation","","","Electoral","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","","Make budgeting decisions","Inform policy decisions","Create predictive models","","","","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Neutral","Good","Somewhat worse","Somewhat worse","About the same","Somewhat worse","Moderately valuable",NA,"No","","Losing federal data would cripple our ability to deliver services efficiently and equitably across the city and to track how our long-term investments are affecting the community.","Yes","Raw, recent ACS data at granular levels (while this is too noisy to use for estimation of general quantities, it's much better for evaluating the impact of interventions we take)","","Department of Justice ","","Census Bureau ","","","Department of Education ","","","",NA,"","","","","Downloading a data file","citywide","innovation/analytics",151
"48","planning and community development","planning and community development","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","Health","Housing","Criminal Justice","","","Transportation","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","","Inform policy decisions","","","","","Important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Neutral","Acceptable","About the same","About the same","About the same","About the same",NA,NA,"No","","It would be very difficult to maintain the quality of our decision making.","Yes","Finer grain census data","","","Department of Transportation ","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","Downloading a data file","planning/development","planning/development",324
"49","information services department","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","","","","","Housing","","","","Transportation","","","","","","","County","","","Census Tracts","Census Block Groups","","","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","","","","","Important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Very easy","Very easy","Very Good","Much better","Somewhat better","Somewhat better","Somewhat better","Very valuable",NA,"No","","Inability to set a base line from which to measure the effectiveness of county programs and services","Yes","Sensor-based traffic data on interstates","Department of Labor ","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","Downloading a data file","citywide","it/gis",149
"50","it","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","","","","Health","","Criminal Justice","","","","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","","","","Inform policy decisions","Create predictive models","","","","Important","1 to 3 years ago","About the same",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Easy","Acceptable","Somewhat better","Somewhat better","Somewhat better","Somewhat better","Moderately valuable","Not at all valuable","No","",NA,"No","","Department of Labor ","Department of Justice ","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","citywide","it/gis",901
"51","civic innovation","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","","Environmental","Education","Health","Housing","","","","Transportation","","","","","","","County","","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","Identify local issues","","Inform policy decisions","","","Other - Write In (Required)","benchmarking","Important","3 to 5 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Very difficult","Acceptable","Somewhat better","About the same","About the same","Somewhat better","Moderately valuable","Not at all valuable","No","","harder to make well informed decisions","No","","","","","Census Bureau ","","","Department of Education ","","","Department of Agriculture ",NA,"","","","","An online tool ","citywide","innovation/analytics",150
"52","gis","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","","","","","","","","","","","","","","","","County","County Subdivision","","Census Tracts","Census Block Groups","Census Blocks","","","","Identify local issues","","Inform policy decisions","","","","","Slightly important","More than a decade ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Difficult","Difficult","Acceptable","About the same","About the same","About the same","About the same","Moderately valuable",NA,"No","","na","No","","","","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","citywide","it/gis",716
"53","performance & budget","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","","","","","","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","","Inform policy decisions","","","","","Important","1 to 3 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Neutral","Difficult","Acceptable","Somewhat worse","About the same","Somewhat worse","About the same","Slightly valuable","Very valuable","No","","Lack of baseline info.","No","","Department of Labor ","","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","citywide","finance",265
"54","it","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","Criminal Justice","Scientific","Regulatory","Transportation","Legal","Campaign Finance","Electoral","Legislative","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","","Identify local issues","","Inform policy decisions","","","","","Fairly important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Very difficult","Acceptable","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse",NA,NA,"No","","It would be more difficult to make good policy decisions","No","","","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"Federal Housing Finance Agency ","","","","An online tool ","citywide","it/gis",968
"55","public healh & safety","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","Health","Housing","Criminal Justice","Scientific","","","","","","","","","County","","","Census Tracts","","","","","Track city or department performance","Identify local issues","","Inform policy decisions","","","","","Very important","Less than a year ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Easy","Acceptable","Much worse","Much worse","Much worse","Much worse","Slightly valuable","Slightly valuable","No","","Difficulty in making policy decisions, difficulty in comparing Marion County to other US counties with similar demographics","No","","Department of Labor ","","","Census Bureau ","","","","","","Department of Agriculture ",NA,"","","","","An online tool ","citywide","health",321
"56","administrative services","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","","","Criminal Justice","","","Transportation","","","","","","State","","County Subdivision","","Census Tracts","","","","","Track city or department performance","Identify local issues","","Inform policy decisions","","","","","Important","1 to 3 years ago","About the same",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Acceptable","Much better","Much better","Much better","Much better","Very valuable","Very valuable","No","",".","No","","Department of Labor ","","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","citywide","administration",550
"57","office of governance and management","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","Housing","","","","","","","Electoral","","","","County","","","Census Tracts","Census Block Groups","Census Blocks","","","","","Make budgeting decisions","Inform policy decisions","","","","","Important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Just right","Neutral","Neutral","Good","About the same","Somewhat better","Somewhat better","About the same","Slightly valuable","Very valuable","No","","Census data is critical to informing our operational and policy decision-making.","No","","","","Department of Transportation ","Census Bureau ","","","","Environmental Protection Agency ","","",NA,"","","","","An online tool ","citywide","governance/performance",813
"58","seattle it","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","","","","","","","","","","","","","","","State","County","County Subdivision","","Census Tracts","","","","","","Identify local issues","Make budgeting decisions","Inform policy decisions","","","","","Very important","5 to 10 years ago","A lot more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Very difficult","Difficult","Very Poor","About the same","About the same","About the same","About the same",NA,NA,"No","","Inability to determine policy directions.","No","","","","","Census Bureau ","","","","","","",NA,"","","","","Downloading a data file","citywide","it/gis",220
"59","communications and technology management","multiple","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","Criminal Justice","","","Transportation","","","","","","","","","","Census Tracts","Census Block Groups","Census Blocks","","","","Identify local issues","","Inform policy decisions","Create predictive models","","","","Fairly important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Easy","Acceptable","Somewhat better","Somewhat better","About the same","About the same","Slightly valuable","Moderately valuable","No","","Continuing to monitor trends.   Creating new baselines.","No","","","","Department of Transportation ","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","Downloading a data file","multiple","communications",760
"60","delinquent real estate","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","Housing","","","","","","","","","United States Postal Service","State","County","County Subdivision","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","Identify local issues","","","","","","","Important","1 to 3 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Difficult","Acceptable","Somewhat better","Somewhat better","Somewhat better","Somewhat better",NA,NA,"No","","Not having information to the census data or data of mail service from the USPS would create a hurdle in helping with many citywide issues in not having the complete information to truly tackle a problem.","No","","","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","Other - Write In ","An online tool ","citywide","housing",716
"61","city manager's office","multiple","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","","","","","","","Transportation","","","","","","","","","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","Identify local issues","","Inform policy decisions","Create predictive models","","","","Fairly important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Very difficult","Neutral","Very Good","Somewhat better","Much better","About the same","About the same","Moderately valuable","Very valuable","No","","I'm not sure. I guess we would have to pay for the data from a private company who would collect it.","Yes","A list of valid addresses for the entire country.","Department of Labor ","","","Census Bureau ","","","","","","",NA,"","","","","Downloading a data file","multiple","city manager office",259
"62","mayor's office- office of innovation","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","Criminal Justice","Scientific","","Transportation","","","","","","","County","County Subdivision","","Census Tracts","Census Block Groups","","","","Track city or department performance","Identify local issues","","Inform policy decisions","","Regulatory enforcement","","","Very important","5 to 10 years ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Difficult","Good","About the same","Somewhat better","About the same","About the same","Moderately valuable",NA,"No","","Poorer tracking of outcomes, targeting of efforts. ","Yes","Criminal Justice- Rate of People with Criminal Record","","","","Census Bureau ","","Department of Health and Human Services ","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","innovation/analytics",337
"63","public works","public works","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","","","","Regulatory","Transportation","","","","","","","","","","Census Tracts","Census Block Groups","","","","","","Make budgeting decisions","Inform policy decisions","","","","","Fairly important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Difficult","Acceptable","About the same","About the same","About the same","About the same","Moderately valuable",NA,"No","","Oher departments are far more dependent (Public Safety, Housing, Planning etc) ours are more around transportation and environmental and a loss would impair good decision making. ","No","","","","Department of Transportation ","Census Bureau ","","","","Environmental Protection Agency ","","",NA,"","","","","Downloading a data file","public works","public works",638
"64","budget and management services","budget","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","Health","Housing","","Scientific","","","","","","","","","County","","","Census Tracts","","","","","Track city or department performance","Identify local issues","","","","","","","Slightly important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Difficult","Acceptable","About the same","About the same","About the same","About the same","Slightly valuable","Slightly valuable","No","","Less awareness of community related trends.","Yes","Hard to know everything that exists. Would love to see a data catalog that lists federal datasets and the lowest geographic level that they report.","Department of Labor ","","","Census Bureau ","","","","","","Department of Agriculture ",NA,"","","","","An online tool ","finance","finance",414
"65","mayor's office of performance strategy and innovation","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","","Housing","","","","Transportation","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","","Identify local issues","","Inform policy decisions","","","","","Important","5 to 10 years ago","About the same",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Just right","Easy","Difficult","Acceptable","Much worse","Much worse","Much worse","Much worse","Moderately valuable","Moderately valuable","No","","Less informed decisions at the local level.  Much more time and resources to gather the same data on our own - we probably wouldn't do it because of the cost.","No","","","","","Census Bureau ","","","","Environmental Protection Agency ","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","innovation/analytics",213
"66","public safety","police, fire, 911","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","","","Housing","Criminal Justice","","","","Legal","","","","USGS","","County","","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","","Make budgeting decisions","Inform policy decisions","Create predictive models","","","","Fairly important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Easy","Easy","Very Good","About the same","About the same","Somewhat better","About the same","Very valuable","Very valuable","No","","We use census data and UCR data quite a bit for planning, comparing our performance, benchmarking crime rates. If either of these sources went away, or became significantly more difficult to access, it would negatively impact our ability to use data to guide operations and future decision.s. ","No","","","Department of Justice ","","Census Bureau ","","","","","","",NA,"","","","Other - Write In ","An online tool ","emergency services","emergency services",665
"67","community development","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","","","","","","","","","","","","","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","Identify local issues","","","","","","","Very important","More than a decade ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Easy","Easy","Acceptable","About the same","About the same","About the same","Somewhat worse","Moderately valuable","Very valuable","No","","We would have to make more uninformed decisions about resource allocation","No","","","","","Census Bureau ","","","","Environmental Protection Agency ","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","planning/development",711
"68","innovation and technology","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","Housing","Criminal Justice","","","Transportation","","","","Legislative","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","Make budgeting decisions","","","","","","Fairly important","5 to 10 years ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Difficult","Difficult","Acceptable","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Very valuable","Very valuable","No","","it would impact GIS maps","No","","Department of Labor ","Department of Justice ","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","citywide","innovation/analytics",918
"69","mayor's open data office (datasf)","datasf","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","Housing","","","","","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","","Inform policy decisions","","","","","Very important","3 to 5 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Neutral","Difficult","Good","Somewhat worse","About the same","About the same","About the same","Very valuable","Very valuable","No","","Less robust policy analysis","Yes","3yr ACS data","Department of Labor ","","","Census Bureau ","","","","","","",NA,"","","","","Downloading a data file","innovation/analytics","innovation/analytics",187
"70","department of children, youth and their families","department of children, youth and their families","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","","","","","","","","","","","","State","County","","","Census Tracts","Census Block Groups","","","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","","","","","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Difficult","Difficult","Acceptable","About the same","Somewhat better","Somewhat better","Somewhat better",NA,NA,"No","","I don't think we have lost data?","Yes","American Community Survey public use microdata that can be analyzed for regions smaller than PUMAs. ACS public use microdata at the census tract level would be great.","Department of Labor ","","","Census Bureau ","","","Department of Education ","","","",NA,"","","","","An online tool ","family/children","family/children",187
"71","planning and economic development","multiple","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","Criminal Justice","Scientific","Regulatory","Transportation","","","","","","State","County","County Subdivision","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","Identify local issues","","Inform policy decisions","","","","","Very important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Too infrequent","Easy","Neutral","Acceptable","Much worse","Much worse","Somewhat better","About the same","Very valuable","Very valuable","No","","Inability to apply for grants/funds; inability to provide services.","Yes","Income tax","","","","Census Bureau ","","","","Environmental Protection Agency ","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","multiple","planning/development",127
"72","public works","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","","Environmental","","","Housing","","","Regulatory","","","","","","","","County","","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","Identify local issues","","Inform policy decisions","","Regulatory enforcement","","","Very important","More than a decade ago","About the same",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Difficult","Neutral","Acceptable","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Moderately valuable",NA,"No","","unsure","No","","","","","Census Bureau ","","","","Environmental Protection Agency ","Department of Housing and Urban Development ","",NA,"","","","","Downloading a data file","citywide","public works",638
"73","parks & rec","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","","","","","Housing","","","","Transportation","","","","","","","","County Subdivision","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","Identify local issues","","","","","","","Important","More than a decade ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Neutral","Acceptable","About the same","About the same","About the same","About the same","Very valuable",NA,"No","","Loss of information for grants and tracking changes","No","","","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","API","citywide","parks & rec",617
"74","geospatial information systems","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","","Scientific","","Transportation","Legal","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","","","Create predictive models","","","","Very important","3 to 5 years ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Acceptable","Somewhat better","Much better","Much better","Much better",NA,NA,"No","","loss of demographic data","No","","","","","Census Bureau ","","Department of Health and Human Services ","","","","",NA,"","Internal Revenue Service ","","","Downloading a data file","citywide","it/gis",638
"75","innovation and technology","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","","Health","Housing","Criminal Justice","Scientific","Regulatory","Transportation","","","Electoral","","","","","","Core-based Statistical Area (CBSA)","","","Census Blocks","","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","Create predictive models","","","","Very important","3 to 5 years ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Neutral","Easy","Acceptable","Somewhat better","Somewhat better","Somewhat better","Somewhat better","Moderately valuable","Very valuable","Yes","Climate Change Data","Inability to benchmark and understand macro trends in employment and demographics.","No","","Department of Labor ","","","Census Bureau ","","","","","","",NA,"Federal Housing Finance Agency ","","","","An online tool ","citywide","innovation/analytics",172
"76","project management","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","","Environmental","","Health","Housing","","","Regulatory","Transportation","","","","","","","County","","","Census Tracts","","Census Blocks","","","","Identify local issues","","Inform policy decisions","","Regulatory enforcement","","","Slightly important","More than a decade ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Easy","Neutral","Acceptable","About the same","Somewhat better","Somewhat better","About the same","Slightly valuable","Slightly valuable","No","","Not sure.","No","","","","","","","Department of Health and Human Services ","","Environmental Protection Agency ","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","governance/performance",184
